model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,100,5,5,1.1,2,2.72E+08,22.17,0,1596,0.434209,290,0
 cut,100,10,5,1.1,2,2.73E+08,10.62,0,698,0.131896,78,0
 cut,100,25,5,1.1,2,2.87E+08,20.71,0,1289,0.43042,352,0
 cut,100,42,5,1.1,2,2.73E+08,45.61,0,2842,0.732971,300,0
 cut,100,98,5,1.1,2,2.97E+08,25.16,0,1844,0.573844,389,0
 cut,100,5,10,1.1,2,2.72E+08,38.39,0,2408,0.960214,637,0
 cut,100,10,10,1.1,2,2.73E+08,33.95,0,1284,1.36743,1355,0
 cut,100,25,10,1.1,2,2.87E+08,30.48,0,2591,0.707863,412,0
 cut,100,42,10,1.1,2,2.73E+08,103.74,0,3612,3.61437,2367,0
 cut,100,98,10,1.1,2,2.97E+08,61.92,0,3598,1.87544,732,0
 cut,100,5,20,1.1,2,2.72E+08,132.01,0,2323,4.58871,4213,0
 cut,100,10,20,1.1,2,2.73E+08,666.84,0,2733,24.1415,23005,0
 cut,100,25,20,1.1,2,2.87E+08,501.43,0,4948,13.3423,14814,0
 cut,100,42,20,1.1,2,2.73E+08,3499.31,0.000160619,23037,22.4455,10620,6484
 cut,100,98,20,1.1,2,2.97E+08,977.93,0,12027,13.5687,7182,0
 cut,100,5,25,1.1,2,2.72E+08,583.44,0,3414,21.6961,17067,0
 cut,100,10,25,1.1,2,2.72E+08,3299.37,9.56E-05,3536,123.836,58000,30052
 cut,100,25,25,1.1,2,2.87E+08,1580.91,0,3872,40.2459,31756,0
 cut,100,42,25,1.1,2,2.72E+08,3312.48,0.000231726,14660,41.5024,17646,12479
 cut,100,98,25,1.1,2,2.97E+08,3460.66,9.64E-05,7556,70.9938,33700,13252
 cut,100,5,40,1.1,2,2.71E+08,3449.51,0.000512471,3980,83.8402,36198,25366
 cut,100,10,40,1.1,2,2.72E+08,3402.41,0.000762223,5025,46.6582,20383,14341
 cut,100,25,40,1.1,2,2.86E+08,3357.67,0.000986491,4714,77.2441,32000,27765
 cut,100,42,40,1.1,2,2.72E+08,3300.54,0.00143505,12717,23.8187,9620,7958
 cut,100,98,40,1.1,2,2.96E+08,3258.62,0.00153918,10957,29.1988,11730,8889
 cut,100,5,5,1.1,5,2.72E+08,9.62,0,193,0.0707955,57,0
 cut,100,10,5,1.1,5,2.73E+08,6.36,0,175,0.0231197,3,0
 cut,100,25,5,1.1,5,2.87E+08,9.38,0,260,0.0501149,15,0
 cut,100,42,5,1.1,5,2.73E+08,14.42,0,383,0.0799823,44,0
 cut,100,98,5,1.1,5,2.97E+08,8.25,0,229,0.0534277,19,0
 cut,100,5,10,1.1,5,2.72E+08,14.18,0,371,0.227862,145,0
 cut,100,10,10,1.1,5,2.73E+08,10.14,0,191,0.0876455,33,0
 cut,100,25,10,1.1,5,2.87E+08,14.6,0,322,0.128572,62,0
 cut,100,42,10,1.1,5,2.73E+08,17.8,0,525,0.333273,131,0
 cut,100,98,10,1.1,5,2.97E+08,14.69,0,209,0.113186,65,0
 cut,100,5,20,1.1,5,2.72E+08,16.05,0,225,0.153255,135,0
 cut,100,10,20,1.1,5,2.73E+08,28.02,0,186,0.775824,827,0
 cut,100,25,20,1.1,5,2.87E+08,21.51,0,191,0.413541,440,0
 cut,100,42,20,1.1,5,2.72E+08,35,0,437,0.730223,597,0
 cut,100,98,20,1.1,5,2.97E+08,42.16,0,535,1.36394,1205,0
 cut,100,5,25,1.1,5,2.72E+08,47.44,0,422,1.81673,1728,0
 cut,100,10,25,1.1,5,2.72E+08,91.54,0,253,4.07922,3385,0
 cut,100,25,25,1.1,5,2.86E+08,61.16,0,411,2.44747,2191,0
 cut,100,42,25,1.1,5,2.72E+08,239.22,0,1653,8.6469,7308,0
 cut,100,98,25,1.1,5,2.97E+08,369.94,0,767,18.9143,15610,0
 cut,100,5,40,1.1,5,2.71E+08,3242.44,0.000231307,1086,226.658,85249,51903
 cut,100,10,40,1.1,5,2.72E+08,3292.04,0.000279391,465,259.698,97700,63489
 cut,100,25,40,1.1,5,2.86E+08,3320.55,0.000574473,1351,173.173,62668,45656
 cut,100,42,40,1.1,5,2.72E+08,3398.84,0.000271342,1235,197.76,72800,42014
 cut,100,98,40,1.1,5,2.96E+08,3419.89,0.000632615,1223,213.598,66973,56064
 flow,100,5,5,1.1,2,2.72E+08,3409.06,0.000218607,0,0,358900,305491
 flow,100,10,5,1.1,2,2.73E+08,52.85,0,0,0,6239,0
 flow,100,25,5,1.1,2,2.87E+08,3406.74,0.000165832,0,0,328300,256289
 flow,100,42,5,1.1,2,2.73E+08,105.54,0,0,0,10939,0
 flow,100,98,5,1.1,2,2.97E+08,3450.25,0.000177787,0,0,211000,169865
 flow,100,5,10,1.1,2,2.72E+08,3415.68,0.00013602,0,0,449000,199168
 flow,100,10,10,1.1,2,2.73E+08,81.74,0,0,0,11541,0
 flow,100,25,10,1.1,2,2.87E+08,3427.09,0.000244554,0,0,204200,173740
 flow,100,42,10,1.1,2,2.73E+08,83.91,0,0,0,10487,0
 flow,100,98,10,1.1,2,2.97E+08,3413,0.000108474,0,0,126213,73284
 flow,100,5,20,1.1,2,2.72E+08,3430.01,5.97E-05,0,0,283961,77620
 flow,100,10,20,1.1,2,2.73E+08,3426.86,3.43E-05,0,0,89200,29605
 flow,100,25,20,1.1,2,2.87E+08,3426.77,0.000179294,0,0,147500,114638
 flow,100,42,20,1.1,2,2.73E+08,3446.41,0.000332359,0,0,36988,24007
 flow,100,98,20,1.1,2,2.97E+08,3471.93,0.000329016,0,0,61526,52957
 flow,100,5,25,1.1,2,2.72E+08,3458.44,0.000208436,0,0,104884,84439
 flow,100,10,25,1.1,2,2.72E+08,3469.02,0.000341175,0,0,43100,33778
 flow,100,25,25,1.1,2,2.87E+08,3408.71,0.00042194,0,0,69568,59341
 flow,100,42,25,1.1,2,2.72E+08,3408.68,0.000379315,0,0,22756,19777
 flow,100,98,25,1.1,2,2.97E+08,3566.03,0.00044353,0,0,45700,38484
 flow,100,5,40,1.1,2,2.71E+08,3580.81,0.000701234,0,0,14970,10793
 flow,100,10,40,1.1,2,2.72E+08,3581.1,0.000915762,0,0,20100,15472
 flow,100,25,40,1.1,2,2.86E+08,3579.7,0.00126143,0,0,20784,16243
 flow,100,42,40,1.1,2,2.72E+08,3576.69,0.000923935,0,0,15000,11589
 flow,100,98,40,1.1,2,2.96E+08,3576.61,0.00116877,0,0,18603,12559
 flow,100,5,5,1.1,5,2.72E+08,17.73,0,0,0,309,0
 flow,100,10,5,1.1,5,2.73E+08,23.08,0,0,0,3,0
 flow,100,25,5,1.1,5,2.87E+08,631.07,0,0,0,182844,0
 flow,100,42,5,1.1,5,2.73E+08,18.23,0,0,0,3,0
 flow,100,98,5,1.1,5,2.97E+08,2151.34,0,0,0,390196,0
 flow,100,5,10,1.1,5,2.72E+08,60.82,0,0,0,13455,0
 flow,100,10,10,1.1,5,2.73E+08,33.95,0,0,0,5408,0
 flow,100,25,10,1.1,5,2.87E+08,74.74,0,0,0,16861,0
 flow,100,42,10,1.1,5,2.73E+08,21.43,0,0,0,90,0
 flow,100,98,10,1.1,5,2.97E+08,1362.24,0,0,0,205595,0
 flow,100,5,20,1.1,5,2.72E+08,37.92,0,0,0,3336,0
 flow,100,10,20,1.1,5,2.73E+08,58.25,0,0,0,3706,0
 flow,100,25,20,1.1,5,2.87E+08,118.71,0,0,0,22671,0
 flow,100,42,20,1.1,5,2.72E+08,75.8,0,0,0,1834,0
 flow,100,98,20,1.1,5,2.97E+08,618.47,0,0,0,32117,0
 flow,100,5,25,1.1,5,2.72E+08,292.45,0,0,0,16679,0
 flow,100,10,25,1.1,5,2.72E+08,324.55,0,0,0,4789,0
 flow,100,25,25,1.1,5,2.86E+08,964.9,0,0,0,78122,0
 flow,100,42,25,1.1,5,2.72E+08,529.88,0,0,0,7894,0
 flow,100,98,25,1.1,5,2.97E+08,3574.24,0.000244796,0,0,71900,53712
 flow,100,5,40,1.1,5,2.71E+08,3570.04,0.000516621,0,0,19888,15375
 flow,100,10,40,1.1,5,2.72E+08,3571.07,0.0004548,0,0,31900,24721
 flow,100,25,40,1.1,5,2.86E+08,3572.07,0.000919375,0,0,23000,18230
 flow,100,42,40,1.1,5,2.72E+08,3571.26,0.000520939,0,0,13313,9796
 flow,100,98,40,1.1,5,2.96E+08,3579.9,0.000985565,0,0,17372,14565
