model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,150,5,5,1.1,2,4.06E+08,48.55,0,916,0.627349,213,0
 cut,150,10,5,1.1,2,4.15E+08,466.61,0,10067,6.75034,1819,0
 cut,150,25,5,1.1,2,4.38E+08,1779.44,0,30252,15.3052,2564,0
 cut,150,42,5,1.1,2,4.09E+08,3426.66,0.000120157,23588,49.0893,10695,7067
 cut,150,98,5,1.1,2,4.30E+08,64.51,0,1172,0.828357,258,0
 cut,150,5,10,1.1,2,4.05E+08,70.41,0,886,1.34783,601,0
 cut,150,10,10,1.1,2,4.15E+08,186.18,0,6658,3.42175,689,0
 cut,150,25,10,1.1,2,4.38E+08,3192.75,0.000124854,32404,34.8503,5592,3222
 cut,150,42,10,1.1,2,4.09E+08,3283.72,0.000137804,22681,45.3755,8740,6173
 cut,150,98,10,1.1,2,4.29E+08,105.03,0,1414,2.46921,968,0
 cut,150,5,20,1.1,2,4.05E+08,3333.79,5.45E-05,2102,215.703,59104,23805
 cut,150,10,20,1.1,2,4.14E+08,3447.47,0.000186319,18161,48.4235,12900,9230
 cut,150,25,20,1.1,2,4.37E+08,3356.07,0.000510709,27452,27.1215,4387,3542
 cut,150,42,20,1.1,2,4.08E+08,3278.64,0.000476103,25588,30.6838,4900,3910
 cut,150,98,20,1.1,2,4.29E+08,899.29,0,5675,19.8542,7504,0
 cut,150,5,25,1.1,2,4.05E+08,3341.04,0.000266776,1943,206.875,46600,35519
 cut,150,10,25,1.1,2,4.14E+08,3221.6,0.00061749,21495,32.088,6066,4441
 cut,150,25,25,1.1,2,4.37E+08,3175.39,0.000497686,21081,32.2394,4537,3391
 cut,150,42,25,1.1,2,4.08E+08,3146.56,0.000874489,16808,23.4891,4400,2968
 cut,150,98,25,1.1,2,4.29E+08,3270.63,0.000145433,3750,141.745,37529,26401
 cut,150,5,40,1.1,2,4.04E+08,3314.73,0.00294377,12548,27.3615,6045,5820
 cut,150,10,40,1.1,2,4.13E+08,3331.34,0.00174746,7658,30.4248,7412,6414
 cut,150,25,40,1.1,2,4.37E+08,3278.11,0.00357701,16896,18.4344,2987,2905
 cut,150,42,40,1.1,2,4.07E+08,3367.24,0.00168644,8382,25.4744,6464,4958
 cut,150,98,40,1.1,2,4.28E+08,3430.42,0.00121762,4900,42.2992,10073,7920
 cut,150,5,5,1.1,5,4.05E+08,42.52,0,512,0.339319,118,0
 cut,150,10,5,1.1,5,4.15E+08,26.64,0,159,0.0365477,6,0
 cut,150,25,5,1.1,5,4.38E+08,429.82,0,5609,12.7348,3707,0
 cut,150,42,5,1.1,5,4.09E+08,95.8,0,1817,2.25845,570,0
